%
% N       RA           Dec      V
%        h m s      deg am as  mag
% 
 0116  00 30 22.7  -23 47 16  5.19 
 0117  00 30 27.8  -40 56 22  6.19 
 0118  00 30 26.1  -48 12 54  5.69 
 0119  00 31 25.3  +66 31 10  6.18 
 0120  00 31 25.6  +33 34 54  5.87 
 0121  00 31 46.4  +54 31 20  4.73 
 0122  00 31 41.2  +52 50 22  5.60 
 0123  00 31 25.0  -48 48 13  4.77 
 0124  00 31 32.7  -62 57 29  4.37 
 0125  00 31 33.6  -62 57 57  4.54 
 0126  00 32 26.8  +43 29 41  6.70 
 0127  00 33 19.3  +70 58 54  6.42 
 0128  00 33  0.0  +62 55 54  4.16 
 0129  00 32 35.5  +20 17 40  5.38 
 0130  00 32 23.8  +06 57 20  5.67 
 0131  00 32 34.5  +27 34 50  6.67 
 0132  00 32 49.1  +28 16 49  6.30 
 0133  00 33 10.4  +54 53 42  5.93 
 0134  00 32 43.8  -63 01 52  5.09 
 0135  00 34 24.9  +66 45 01  6.48 
 0136  00 33 41.1  -29 33 30  5.55 
 0137  00 33 23.3  -71 15 58  6.13 
 0138  00 34 27.8  -52 22 23  5.57 
 0139  00 34 55.3  +13 22 16  6.40 
 0140  00 35 14.9  -03 35 34  5.20 
 0141  00 35 32.8  -00 30 20  5.93 
 0142  00 36  8.3  +54 10 07  5.08 
 0143  00 35 54.7  +13 12 24  6.41 
 0144  00 36 27.3  +60 19 34  5.79 
 0145  00 35 41.1  -48 00 03  5.51 
 0146  00 35 33.4  -54 49 19  6.06 
 0147  00 36 20.0  +27 15 17  6.50 
 0148  00 36  3.0  -14 58 25  6.45 
 0149  00 36  6.9  -22 50 33  6.06 
 0150  00 36 46.6  +44 29 19  5.13 
 0151  00 36 58.3  +53 53 49  3.66 
 0152  00 36 52.9  +33 43 10  4.36 
 0153  00 36 47.3  +15 13 54  5.89 
 0154  00 37  7.2  +24 00 51  6.47 
 0155  00 37 21.1  +35 23 58  5.48 
 0156  00 39 47.3  +82 29 38  6.40 
 0157  00 37 20.7  -24 46 02  5.57 
 0158  00 36 37.4  -65 07 29  6.42 
 0159  00 37 30.5  +03 08 07  6.39 
 0160  00 37 18.1  -54 23 39  6.41 
 0161  00 38 33.3  +29 18 42  4.37 
 0162  00 39  9.9  +49 21 16  5.43 
 0163  00 39 19.7  +30 51 39  3.27 
 0164  00 39 21.8  +21 15 02  5.87 
 0165  00 39 55.6  +21 26 18  5.36 
 0166  00 40 30.5  +56 32 14  2.23 
 0167  00 38 40.8  -73 08 14  6.85 
 0168  00 39 57.9  -33 57 42  6.69 
 0169  00 39 52.0  -44 47 48  6.01 
 0170  00 40 28.6  -16 31 01  6.49 
 0171  00 40 32.9  -23 48 16  6.14 
 0172  00 40 42.4  -04 21 07  5.91 
 0173  00 41  7.2  +39 27 31  5.33 
 0174  00 40 26.4  -59 27 16  5.89 
 0175  00 42  3.4  +66 08 51  5.83 
 0176  00 41 36.0  +24 37 45  6.04 
 0177  00 42  3.9  +50 30 45  4.80 
 0178  00 41 19.6  -46 05 06  4.59 
 0179  00 42 31.1  +58 45 12  6.17 
 0180  00 41 46.4  -56 30 06  5.70 
 0181  00 43 28.1  +47 01 29  4.94 
 0182  00 42 42.9  -38 27 48  6.06 
 0183  00 42 41.8  -60 15 45  5.98 
 0184  00 42 28.4  -65 28 05  5.39 
