%
% ID - oznaczenie gwiazdy
% RA - rektascencja
% Dec - deklinacja
% VMax - maksimum blasku
% VMin - minimum blasku
% P - okres zmian blasku
% Type - typ zmienno"sci: RR0, RR1, RR2, RR01
% Blazhko - Bl je"sli gwiazda wykazuje efekt Bla"zki
%
%ID     RA         Dec       VMax  VMin      P    Type Blazhko
%     h:m:s       d:m:s      mag   mag       d
%
 75  13:42:15.14 28:25:21.7 15.38 15.98 0.314080  RR1
 76  13:42:10.42 28:21:14.4 14.90 16.46 0.5017544 RR0
 77  13:42:04.30 28:23:10.1 14.63 16.07 0.4593425 RR0
 78  13:42:15.06 28:23:49.1 14.92 15.70 0.6119254 RR0
 79  13:42:14.72 28:28:31.9 14.72 16.31 0.3575    RR01    
 80  13:42:43.03 28:27:28.0 14.80 16.17 0.5384827 RR0  Bl 
 81  13:42:37.37 28:28:34.5 14.86 16.30 0.5291108 RR0
 82  13:42:03.90 28:12:40.8 14.96 16.31 0.5245061 RR0
 83  13:41:38.01 28:24:33.9 14.87 16.32 0.5012408 RR0
 84  13:42:16.32 28:25:27.5 15.26 16.12 0.5957289 RR0
 85  13:42:34.65 28:26:29.4 15.32 15.92 0.355824  RR1
 86  13:42:50.39 28:20:49.4 15.42 16.06 0.292888  RR1
 87  13:42:19.86 28:23:42.9 15.13 15.68 0.358     RR01    
 88  13:42:08.84 28:21:32.6 15.08 15.67 0.298985  RR1
 89  13:42:13.62 28:20:51.9 14.85 15.93 0.5484779 RR0
 90  13:42:18.92 28:19:34.5 14.92 16.25 0.5170334 RR0
 91  13:42:10.58 28:13:32.3 14.95 16.26 0.5301630 RR0
 92  13:42:09.39 28:15:53.8 14.94 16.30 0.5031630 RR0
 93  13:41:47.41 28:16:04.6 15.24 16.27 0.6023007 RR0
 94  13:41:34.55 28:18:55.7 14.90 16.33 0.5236936 RR0
 96  13:41:59.13 28:18:47.8 14.74 16.10 0.4994467 RR0
 97  13:42:01.71 28:19:25.1 15.53 16.04 0.334930  RR1
 99  13:42:26.76 28:21:48.3 14.8  15.8  0.3611    RR01    
 100 13:42:16.77 28:24:20.2 15.31 15.96 0.6188126 RR0
 101 13:42:14.99 28:24:06.1 15.29 15.78 0.6438975 RR0
 104 13:42:09.51 28:25:07.7 14.73 15.99 0.5699231 RR0
