%
%   l       b      V       Sp
%  deg     deg    mag
%
  307.41 -62.61   6.41    K0II-IIICNIV      
  119.57 -33.47   4.37    G6IIIFe-3CH1      
  120.88 -13.47   5.43    K7III             
  119.87 -31.94   3.27    K3III             
  119.18 -41.53   5.87    K0+V              
  119.36 -41.35   5.36    K0III+F3V         
  121.42  -6.30   2.23    K0IIIa            
  304.22 -43.96   6.85    A1m               
  322.13 -82.73   6.69    F8V               
  309.65 -72.18   6.01    K1IIICNII         
  108.92 -79.09   6.49    G5                
   85.79 -85.86   6.14    G3V               
  116.05 -67.08   5.91    K0III             
  120.76 -23.37   5.33    G8III             
  305.56 -57.61   5.89    G1V               
  121.98   3.29   5.83    G9III-IV          
  120.09 -38.19   6.04    A7m               
  121.41 -12.33   4.80    B2V               
  308.31 -70.94   4.59    G8III             
  121.77  -4.10   6.17    B9.5III           
  305.65 -60.57   5.70    ApSrEuCr          
  121.52 -15.82   4.94    A5V               
  311.54 -78.52   6.06    A0V               
  304.92 -56.83   5.98    K5III             
  304.43 -51.63   5.39    F6V               
  111.31 -80.68   2.04    G9.5IIICH-1       
  121.72 -14.99   5.67    B5V               
  115.84 -74.78   6.02    K2III-IV          
  305.08 -59.63   4.36    A0IV              
  122.55  12.12   5.66    A2IV              
  121.78 -14.57   4.54    B5IIIe            
  116.69 -73.39   4.76    K0III             
  310.14 -78.60   5.90    K1III             
  122.05  -7.64   5.42    A2V s             
  106.02 -84.66   5.24    F1III-IV          
  307.36 -74.40   5.94    F0V               
  304.31 -54.61   6.07    F5III-IV          
  122.50   6.46   6.33    F3V               
  119.00 -67.46   6.15    M0III             
  305.07 -63.39   6.15    F7III             
  117.05 -75.68   6.15    G0V               
  122.19  -7.56   6.52    A2III             
  121.95 -18.00   6.05    B9.5IIIpHgMnCr    
  115.55 -79.21   6.47    F1IVn             
  122.33  -3.29   6.39    G0Ib              
  122.69  11.98   5.41    B8III             
  305.68 -69.54   5.80    G1V               
  108.14 -85.24   5.50    G3V               
  121.19 -47.38   5.38    M4IIIa            
  122.68   9.80   5.87    K0IV              
  121.22 -50.88   5.50    G8II              
  121.57 -43.28   6.13    F0Vn              
  121.74 -38.59   4.06    K1IIe             
  121.13 -56.12   5.99    G8III             
  121.82 -41.94   6.54    F8V               
  117.34 -80.89   5.70    K3III             
  122.60  -5.05   3.44    F9V+dM0           
  114.55 -84.54   5.57    B9V               
  121.55 -55.56   5.93    G8III             
  121.49 -57.57   5.75    K2V               
  122.51 -11.90   4.89    B9III             
  121.73 -55.28   4.43    K4IIIb            
  122.09 -45.92   5.07    F8V               
  122.60 -21.79   4.53    B5V+F8V           
  120.84 -76.42   5.59    K5III             
  113.36 -86.97   5.90    K2III             
  304.21 -70.42   6.27    G8III             
  122.51 -35.16   7.00    F4III             
  122.51 -35.16   7.10    F5III             
  116.39 -86.21   6.28    A3V               
  122.85   1.38   5.39    G0III-IV+B9.5V    
  122.72 -17.87   6.15    A0pCr             
  121.81 -73.51   5.19    F7IV-V            
  303.18 -42.20   5.07    K5III             
  122.91  -1.07   6.07    K2Ib-IICN-2       
  122.85 -11.36   6.39    F2IV              
  303.82 -73.73   6.48    A9-F0III          
  123.03  20.84   5.62    A4V               
  122.95 -11.30   6.21    B9.5V             
  303.23 -66.14   5.22    F2III             
  122.87 -59.49   6.37    K0III             
  123.13  -1.75   4.82    F8V               
  302.66 -73.42   6.90    F2V+F5V           
  123.24 -24.32   6.69    A2V               
  128.10 -86.87   5.46    K2III             
  123.83 -64.01   4.77    M0III             
  123.38 -25.45   6.06   gK3                
  123.29 -10.18   6.27    A5m               
  132.59 -87.62   6.46    F6IV-V            
  302.81 -47.62   6.22    F7IV-V            
  123.39  -3.90   4.83    K2III             
  123.96 -43.68   5.74    A1VN              
  125.17 -71.60   6.16    G5IV              
  123.55 -14.19   6.27    M2.5IIIa          
  302.51 -54.25   5.70    M4III             
  123.97 -39.24   5.47    K1IV              
  124.03 -38.31   6.20    M4IIIab           
  123.57  -4.87   6.21    K3III             
  123.43   5.91   6.37    F4III             
  124.17 -35.65   6.09    A5IV              
  126.06 -70.19   5.85    K5III             
  123.58  -2.15   2.47    B0IVe             
  123.60  -3.68   4.63    G8IIIbFe-0.5      
  123.59  -2.50   5.55    B9IVn             
  127.04 -74.10   5.31    K4III             
  246.23 -88.81   6.10    M0III             
  124.07 -24.36   3.87    A5V               
  302.47 -47.60   5.45    K2III             
  124.65 -39.43   4.42    G8IIIb            
  124.07 -17.02   6.12    K2III             
  123.64   3.49   5.97    A0III             
  124.62 -33.86   5.42   gG6                
  124.54 -28.90   5.98    K0                
  125.34 -49.15   6.32    G8III             
  125.07 -41.44   6.37    A2V               
  123.68   8.12   6.39    A4IV              
  129.49 -74.16   5.61    G7III             
  268.05 -87.27   4.31    B7IIIp            
  301.40 -56.41   6.23    Am                
  124.54 -18.13   6.84    A2Vn              
  124.54 -18.13   6.04    B9.5Vn            
  126.69 -56.33   6.11    M2III             
  123.24  23.40   4.25    K2II-III          
  123.13  26.16   6.46    A3V               
  124.68 -11.80   6.47    A3V               
  293.64 -78.03   5.59    K0III             
  124.97 -15.45   6.45    A9IV              
  125.24 -21.47   5.98    A5m               
  125.75 -31.00   5.50    B9.5V             
  124.40  -1.76   5.92    F0II              
  275.15 -84.97   5.50    A2V               
  127.89 -54.87   4.28    K0III             
  300.04 -60.07   6.11    G8III             
  130.52 -67.54   5.43    K0III-IV          
  124.47  -1.25   5.84    F6V               
  124.88 -10.32   5.99    K2                
  297.02 -70.60   5.36    G8III             
  256.19 -86.46   6.29    G5IV              
  129.39 -61.35   6.04    F1V               
  125.08 -11.81   6.54    B3V               
  126.31 -33.13   6.19    F7IV-V            
  301.05 -51.63   6.21    M2III             
  125.67 -22.81   6.72    F0Vn              
  123.27  24.29   6.25   gK2                
  129.09 -57.05   6.00   gK5                
  127.84 -47.80   5.68    F4II-III          
  124.64  -0.06   6.54    A5Vn              
  127.34 -41.28   5.34    A1Vn              
  127.35 -41.28   5.56    A0Vn              
  123.74  17.17   6.29  sgG6                
  129.66 -57.77   6.35    F3V               
  129.68 -57.77   7.25    F6V               
  134.63 -72.53   6.12    K0III             
  125.06  -5.87   6.43    K2III             
  134.92 -72.37   5.58    A1V               
  125.30  -9.30   6.38    K2III             
  128.64 -49.75   6.12    G8III             
  170.31 -85.44   6.14    G8-K0III          
  125.32  -7.85   5.17    G5Vb              
  295.51 -70.20   3.31    G8III             
  283.32 -80.89   6.61    A1V               
  126.08 -18.83   5.03    A3m               
  172.43 -85.26   6.37    A7V               
  125.19  -4.53   5.79    B8V               
  127.02 -30.73   6.25    F5IV              
  128.13 -41.96   5.55    A3V               
  136.22 -72.24   5.82    F7IV              
  130.68 -56.96   5.52    F0III-IV          
  290.82 -75.25   5.21    A3IV              
  299.64 -55.25   5.37    G5III             
  123.91  16.84   5.64    A3V               
  137.15 -72.58   3.45    K1.5IIICN1Fe0.5   
  126.11 -15.52   4.25    B7Ve              
  124.68   5.97   5.29    A0Vnn             
  127.10 -27.10   2.06    M0+IIIa           
  297.83 -61.71   3.92    B6V+B9V           
  128.85 -43.00   5.55    G0III             
  126.67 -20.65   5.65    F8V               
  128.29 -37.22   5.80    K7III             
  125.10   1.42   5.55    B9.5V             
  125.76  -7.61   4.33    A7V               
  129.55 -46.96   6.06    M0III             
  125.07   2.23   5.57    B9IV              
  137.48 -71.25   6.40    K0III             
  132.54 -60.07   5.95    K4III             
  127.24 -24.98   5.81    B7III-IV          
  127.84 -31.26   5.16    F0V               
  298.05 -59.26   6.41    G6II-III          
  129.18 -41.59   4.66    G8.5III-IIIa      
  128.12 -32.58   4.51    K0.5IIIb          
  134.84 -64.65   5.94    K4III             
  125.50  -1.06   6.41    B9V               
  126.82 -17.37   6.11    M1III             
  128.47 -32.58   6.19    G9III+G1V         
  124.08  17.09   6.26    F5V s             
  252.89 -84.13   6.52    F7IV              
  281.60 -78.37   5.92    F0III             
  129.37 -38.01   4.65    K0III             
  132.56 -54.88   5.24    A7IV              
  132.57 -54.87   6.30    F7V               
  128.94 -34.08   6.43    S3+/2-            
  130.84 -46.39   5.98    B8III             
  124.89   8.97   7.83    K1V               
  139.80 -70.04   5.13    F5V               
  133.14 -55.41   6.03   gG6                
  136.01 -63.25   5.70    F5V               
  127.24 -14.58   6.61    B9IIIpSi          
  290.10 -71.00   4.96    F8V               
  128.91 -29.47   6.02    K1III             
  127.70 -17.73   6.34    K5                
  137.75 -64.64   5.41    G5IIIe+dA         
  129.36 -30.80   6.73    K0                
  124.54  14.79   6.31    G5III             
  127.61 -15.21   6.25    K0                
  299.66 -48.10   4.86    F6IV              
  135.63 -58.61   5.16    A3V               
  128.93 -25.17   6.46    A5m               
  298.90 -50.53   6.24    A0V               
  124.79  13.48   6.38    F0IVn             
  126.71  -4.43   4.98    F0Ia              
  130.56 -35.19   4.76    A3V               
  126.10   1.97   6.34    A2Vnn             
  138.45 -62.52   5.87    G8III+A7V         
  124.57  15.96   6.07    A0Iab             
  140.45 -65.12   6.23    K1III             
  147.57 -72.71   6.15    K1III             
  130.75 -33.68   5.23   gK5                
  128.58 -17.00   4.88    K0-IIIb           
  127.14  -4.47   6.45    F4V               
  138.75 -60.18   6.20    K5IIIab           
  139.87 -62.29   6.49   gK0                
  166.13 -79.24   6.35    F6IV              
  129.94 -24.72   5.58    A2Vm              
  130.47 -28.16   6.29    G8IV              
  132.99 -41.78   5.97    K5                
  125.75   8.30   6.49    A0Vnn             
  126.15   5.47   4.74    K0III             
  243.40 -82.02   5.84    K5III             
  146.42 -69.38   6.21    F0V               
  146.59 -69.54   3.60    K0III-IIIb        
  127.19  -2.35   2.68    A5III-IV          
  145.55 -68.33   5.91    F3V               
  158.54 -76.18   6.14    G5                
  142.56 -64.44   6.15    G8III             
  132.98 -38.69   6.18    F5III             
  279.66 -74.10   5.42    K0III             
  129.61 -18.96   5.96    F7V               
  131.00 -27.75   6.31    F7V               
  284.11 -71.36   6.26    K1II              
  157.07 -75.16   4.90    K2.5IIIb          
  134.19 -42.94   5.38    F2V:              
  134.31 -42.85   5.50    K1III             
  131.25 -27.92   6.27    F7IVb vs          
  141.83 -61.98   6.41    K0IV              
  129.56 -17.00   4.83    F5IV              
  130.20 -21.26   6.46    A7m               
  139.88 -58.16   6.58    B9V+A8V           
  296.98 -52.37   5.93    K5III             
  155.16 -73.67   5.66    F0IIIDel Del      
  130.39 -22.01   6.60    A0III             
  250.18 -80.59   5.79    C6II              
  123.28  26.46   2.02    F7:Ib-II          
  152.44 -71.66   6.13    K4III-IV          
  138.54 -53.79   6.20    K1III             
  126.30   7.65   5.81    F6V               
  126.92   3.53   6.14    A2V s             
  280.52 -72.17   3.41    M0-IIIa           
  129.75 -15.35   5.27    K0III             
  254.77 -79.59   6.58    F0IV              
  135.56 -43.57   6.02    A4IV              
  182.65 -79.72   5.12    A1V               
  140.07 -55.43   4.84    K4III             
  284.52 -68.99   6.31    M2III             
  209.10 -81.25   5.93    K4III             
  137.01 -46.43   3.62    G7IIIa            
  132.33 -27.33   6.39    B7IIIpHgMn        
  128.44  -4.09   5.70    K0Ib+B9V          
  286.27 -66.75   3.95    K0III             
  234.96 -80.63   5.82    K0III             
  128.35  -3.19   4.71    G9IIIb            
  282.11 -69.89   6.17    A2V               
  153.38 -69.39   6.59    A0III             
  263.48 -76.89   5.51    K0III             
  132.32 -24.85   5.88    B9IV              
  286.40 -66.06   6.28    F4V               
  151.37 -67.53   5.76    G2IV              
  126.09  11.71   6.58    B9Ve              
  137.11 -43.21   5.89    M2IIIab           
  166.32 -74.78   5.63    A3V               
  131.88 -21.02   6.38    K1III             
  242.30 -79.43   6.12    K0-1III           
  130.54 -13.48   5.92   gK1                
  138.71 -46.85   6.22    B9.5III           
  126.40  10.49   5.28    G8III             
  137.79 -44.15   5.80    F0IV              
  132.00 -20.66   4.09    F8V               
  166.61 -74.36   5.42    K2IIIaBa0.2CN1    
  292.01 -58.05   6.01    F2V               
  129.11  -4.33   5.56    G5II              
  231.37 -79.80   5.69    F2V               
  140.16 -49.20   5.57    F0V               
  130.81 -13.53   3.57    K3-III            
  131.53 -16.68   6.36    B9pCrEu           
  156.70 -69.19   6.24    F7V               
  300.26 -38.41   6.11    K0III             
  291.74 -57.86   6.18    M3III             
  131.89 -17.65   4.98    G8III             
  130.16  -8.32   6.39    K5III             
  259.18 -76.31   5.94    K0IV              
  290.84 -58.79   0.46    B3Vpe             
  187.04 -77.72   5.58    A4n               
  204.39 -79.16   6.70    B9Vn              
  139.37 -44.92   5.97    K2III             
  132.35 -18.67   5.61  sgA9                
  132.92 -21.34   4.94    B8III             
  127.68   5.64   5.59    A0pSiSr           
  287.70 -62.27   6.84    F5IV-V            
  127.21   8.18   5.18    B9V               
  129.02  -1.23   6.71    B8IIIpSi          
  129.52  -3.59   6.37    B8III             
  132.70 -19.30   4.95    G1.5V             
  136.80 -35.78   6.17    F2III             
  135.69 -31.58   5.99    K0III             
  289.60 -59.66   5.87    K0V               
  289.60 -59.66   5.76    K5V               
  129.06  -0.84   6.34    B7II              
  145.12 -55.22   4.44    K3IIIbBa0.1       
  134.46 -26.49   5.64    B9IV-V            
  129.27  -1.68   5.78    B8IIIn            
  162.14 -70.26   5.75    F5V+F7V           
  138.88 -41.01   5.24    K1V               
  262.44 -74.80   6.17    F2V               
  132.40 -16.59   6.34    K2IV              
  131.32 -11.33   4.07    B2Vep             
  241.27 -77.84   5.25    K0III             
  258.27 -75.56   5.72    A1V               
  130.00  -4.61   6.21    A3V               
  152.75 -63.55   4.99    K3II-III          
  283.51 -65.15   6.64    A3V               
  130.16  -5.03   6.25    A2V               
  135.65 -29.38   6.34    G8III-IV          
  132.43 -15.75   6.35    K5III             
  292.17 -55.27   5.71    K2-3III           
  286.90 -61.77   5.52    F9V               
  154.47 -64.37   6.19    K0                
  139.67 -41.04   6.27    G3Va              
  173.19 -73.43   3.50    G8V               
  144.61 -51.43   4.26    G8III             
  129.08   1.66   5.63    K0V               
  301.23 -34.00   5.87    G2V               
  156.61 -64.97   5.34    K4III             
  206.28 -77.66   5.31    F1V               
  141.20 -43.49   6.55    A9III             
  299.99 -37.69   6.33    G6-8III           
  217.10 -77.87   6.39    F2Vn              
  133.00 -15.54   6.32    F6V               
  282.92 -64.14   5.49    M3III             
  285.68 -61.74   5.04    A1V               
  135.20 -23.55   5.94    K0III             
  141.89 -43.82   5.84    B9.5V             
  136.65 -28.66   5.79    F8V               
  268.52 -71.43   6.18    K5-M0III          
  301.70 -32.25   5.69    G8III             
