%
%  RA        Dec        V1     V2       P     units   a    units
% h m s    deg am as   mag    mag
%                                            d = days      a = arcseconds
%                                            y = years     m = milliarcseconds
%                                            c = centuries
%
000000.91 -192955.8    9.0    --      499.7989   d  14.31    m
000123.69 +393638.9    9.09   9.77    227.       y   0.85    a
000210.15 +270456.1    5.8    8.9      26.28     y   0.83    a
000225.33 +104635.9    9.37   9.91    129.72     y   0.366   a
000238.92 -082916.6    9.82  10.07    288.0      y   0.27    a
000446.84 +381025.8   10.02  10.18    403.       y   0.74    a
000520.15 -054228.2    4.63   --       72.9300   d   4.57    m
000529.06 +340620.4    8.20   9.76     47.06     y   0.138   a
000540.28 +454844.8    8.98   9.15   1550.637    y  11.7613  a
000540.28 +454844.8    8.98   9.15    509.65     y   6.21    a
000540.28 +454844.8    8.98  10.19    830.37     c 205.1     a
000615.54 +582612.1    6.42   7.32    106.7      y   1.44    a
000823.17 +290527.0    2.22   4.21     96.7015   d  24.0     m
000828.39 +345604.3    8.27   8.31     19.3      y   0.124   a
000902.35 -540007.1    6.74   8.07    221.00     y   0.420   a
000902.35 -540007.1    6.74   8.07    256.86     y   0.585   a
000919.83 +794252.7    6.68   6.89    540.       y   0.995   a
000927.98 +190656.5    8.29   9.98    280.00     y   0.846   a
000950.12 -334719.3    9.56   9.74    424.677    y   1.114   a
001125.97 +584929.1   15.    19.      462.7      y   0.14    a
001125.97 +584929.1   15.    19.       58.8      y   0.05    a
001125.97 +584929.1   15.    19.      117.9      y   0.10    a
001125.97 +584929.1   15.    19.      206.3      y   0.17    a
001208.05 +533726.1    7.25   8.46     66.84     y   0.2514  a
001210.31 +464629.7    9.70  10.35    269.52     y   0.260   a
001230.12 +143349.3    8.59   --     1251.3550   d  18.39    m
001233.15 -114134.7    8.98   8.98    185.       y   0.30    a
001323.93 +265915.4    6.77   7.67    383.074    y   0.5798  a
001517.83 +441212.2    7.3    7.5     330.       y   0.29    a
001517.83 +441212.2    7.3    7.5     137.96     y   0.153   a
001527.67 -160756.3   11.0   11.4       4.566    y   0.3037  a
001613.88 +765702.7    7.03   7.12    971.444    y   0.9873  a
001644.46 +362929.0    7.94   9.88    108.90     y   0.350   a
001653.59 -523905.7    6.85   --      411.4      d  20.98    m
001705.54 +384054.0    4.62   --     1033.       d  25.      m
001705.54 +384054.0    4.62   --     1006.       d  12.      m
001724.50 +085234.8    8.38   7.78     18.02     y   0.121   a
001814.70 +725648.4    8.10   8.76    247.63     y   0.367   a
001822.88 +440122.6    8.07  11.04   2600.       y  41.15    a
002033.00 +453032.1    7.17   9.56    320.00     y   0.810   a
002038.22 +121839.8    8.39   9.67    126.951    y   0.317   a
002057.09 +674002.3    8.57   8.89    161.       y   1.0     a
002122.17 +670019.5    7.54   8.77    335.385    y   0.3935  a
002415.64 +520111.7    5.95   6.84    169.29     y   0.214   a
002444.24 -270826.5   15.3    --       16.1      y   0.446   a
002444.31 -510235.7    6.82   --      115.3      d   4.68    m
002616.87 -421818.4    2.37   --     3848.8      d 103.5     m
002707.79 -075233.8    8.84   8.95     54.02     y   0.370   a
002817.00 +634405.8   10.25  10.13    198.53     y   0.458   a
002821.17 -202005.2    7.23   7.40     11.33     y   0.211   a
003045.56 +473148.0    8.49   8.77    142.14     y   0.689   a
003105.23 -100501.9    9.69   9.09    134.66     y   0.38    a
003133.36 -625755.6    4.60   6.54     44.66     y   0.404   a
003146.32 +543120.4    5.33   5.62    536.47     y   1.165   a
003208.27 -051043.3    9.7    9.7      21.30     y   0.19    a
003223.75 +065719.6    5.84   7.99     25.55     y   0.1559  a
003229.43 +671408.8   10.3    --       15.4      y   0.45    a
003229.43 +671408.4   10.62  12.20    323.0      y   4.11    a
003329.97 +400620.2    8.09   9.72     64.53     y   0.388   a
003429.75 -043247.5    7.63   8.04    990.       y   1.88    a
003514.64 -033533.9    5.61   6.90      6.89     y   0.241   a
003539.48 +342846.6    8.43   9.78    473.78     y   0.387   a
003602.24 +295938.4    8.39   9.05      --           --       
003652.84 +334309.7    4.36   --      143.53     d   6.69    m
003719.79 -244602.0    6.60   6.20     25.09     y   0.667   a
003919.60 +305140.4    3.3    --       52.8      y   0.62    a
004135.98 +243744.6    6.06   --       21.26     y   0.126   a
004223.21 +041000.0    7.86   9.71    386.51     y   3.296   a
004241.32 -653630.5    7.27   8.75    271.78     y   0.457   a
004253.20 +204635.6   10.26  10.09    160.08     y   0.27    a
004303.51 +765924.7    9.83   9.71    580.       y   1.17    a
004322.80 +472618.5    9.67  10.20   1530.       y   1.96    a
004443.50 +481703.8    4.48   --     1033.0      d   7.4     m
004611.05 -221429.3    9.76  10.03     48.0      y   0.195   a
004700.82 +231502.5    9.23   9.26    351.7      y   0.623   a
004808.88 +724028.0    5.86   --     1646.       d  18.      m
004808.88 +724028.0    5.86   --     1640.       d  17.      m
004844.82 +184108.3    8.34   8.61    143.628    y   0.617   a
004858.71 +165628.1    5.1    5.2      13.824621 d   6.527   m
004905.10 +574859.6    3.52   7.36    480.       y  11.9939  a
004909.10 +571937.6    9.0    9.5     146.577    y   0.213   a
004937.25 +474550.4    6.67   --     1142.       d  10.      m
004937.25 +474550.4    6.67   --     1325.       d  24.      m
005025.10 +503749.6    8.46   8.79    200.96     y   0.531   a
005043.57 +641451.3    5.7    6.8       5.7255   y   0.0341  a
005050.85 +320257.8    9.61   9.77    106.44     y   0.786   a
005136.99 +223724.4    7.93   8.22    112.40     y   0.121   a
005201.02 +315359.3    9.8    9.9     164.9      y   0.289   a
005207.75 -131349.1   10.09  10.47    123.359    y   0.508   a
005319.51 +040510.7    7.55   8.79     57.67     y   0.228   a
005320.22 -453020.7    9.05   9.05    375.       y   0.62    a
005411.08 +431754.1    8.4    8.4      93.       y   0.15    a
005435.22 +191118.4    6.12   7.19    334.76     y   0.690   a
005458.02 +233742.4    6.12   6.54    167.71     y   1.002   a
005646.94 +602146.3    6.11   6.53     83.10     y   0.245   a
005646.94 +602146.3    5.56   6.27      4.85     y   0.032   a
005712.43 +232503.9    4.42   --      115.72     d  10.37    m
005735.79 +542344.8    9.0    9.5     788.16     y   0.948   a
005818.90 +212416.2    6.60   8.77    331.97     y   0.651   a
005920.47 -004028.3    8.11   9.17     92.67     y   0.346   a
005923.33 +004644.5    7.65   --       84.84     y   0.276   a
005923.33 +004644.5    7.65   --       80.92     y   0.278   a
005935.07 -011130.5    9.28   9.94    153.       y   0.3561  a
010106.46 +602130.6    9.23   8.65    253.99     y   0.318   a
010121.77 +115445.7    8.23   9.34    239.84     y   0.745   a
010125.08 +353443.4    9.95   9.52     59.72     y   0.139   a
010130.16 +692130.7    7.12   7.84   1517.34     y   0.990   a
010143.49 +251732.1    7.48   7.76     16.41     y   0.128   a
010217.55 +055159.9   10.30   9.32     82.72     y   0.197   a
010224.37 +050339.3    8.49  10.07     28.99     y   0.465   a
010245.24 +021341.6    9.87  11.73     64.0      y   0.267   a
010249.09 +314815.3    5.51   --       81.12625  d   5.56    m
010301.47 +472234.3    6.76   8.07    450.       y   0.816   a
010314.15 +200552.2   12.24  12.97     69.3      y   3.10    a
010337.18 +634116.0    8.68   9.51    106.       y   0.39    a
010337.18 +634116.0    8.68   9.51     56.93     y   0.237   a
010358.75 +352810.1    7.81   8.29    500.       y   0.354   a
010448.29 +013516.0    9.49  10.36    131.46     y   0.249   a
010456.22 +364923.3    9.7   10.0     170.14     y   0.237   a
010532.41 +210714.8   10.01  10.06    163.       y   0.62    a
010605.11 -464306.6    4.10   4.19    195.0      y   1.0600  a
010709.16 +383901.7    8.60   8.29     33.72     y   0.131   a
010747.83 -412913.0    5.54   6.88     29.       y   0.25    a
010816.39 +545513.2    5.17  10.7      21.753    y   1.009   a
010823.08 -551444.7    4.02   6.80    210.37     y   0.804   a
010922.09 -563542.4    7.78   8.25     80.0      y   0.272   a
010930.12 +471430.6    4.59   5.61    391.0      y   0.450   a
011028.86 +391643.6    9.5   10.2     110.       y   0.59    a
011034.31 +510047.8    7.54   7.82    278.       y   0.74    a
011050.36 +674648.1    7.22   7.68      7.30     y   0.087   a
011114.56 +411317.3    8.35   9.36    153.09     y   0.338   a
011308.87 +114057.6    7.86   --      833.3112   d  15.06    m
011308.90 +294159.1    9.6    9.8     125.38     y   0.357   a
011407.65 +160800.8    5.96   --      800.9000   d   2.44    m
011445.76 +605620.8    8.94   7.57     75.0      y   0.357   a
011445.76 +605620.8    8.94   7.57    142.15     y   0.53    a
011500.32 -684908.7    7.84   8.44     85.2      y   1.14    a
011531.26 +374436.6    8.87   --      701.4      d   7.7     m
011545.50 -685234.5    5.00   7.74    857.0      y   5.960   a
011546.78 +094705.3    7.36   9.89    186.46     y   0.592   a
011937.10 -051931.3    8.97   9.71    131.16     y   0.273   a
011948.29 -003032.4    7.4    7.6      27.78     y   0.117   a
011957.73 -154850.7    7.40   7.61   1443.34     y   3.431   a
012029.96 -195654.5    7.59   --     2656.       d  46.      m
012029.96 -195654.5    7.59   --     3261.       d  55.      m
012119.23 +113212.3    7.12   8.86    242.7      y   0.402   a
012146.59 -240740.9    8.89   9.29   1530.34     y   2.021   a
012158.65 -694307.6    7.66   8.61   4230.       y   5.04    a
012321.27 +580835.6    7.1    7.3     222.       y   0.83    a
012403.56 +542132.9    8.25   --     1760.       d  23.      m
012403.56 +542132.9    8.25   --     1807.       d  22.      m
012420.48 -065452.8    6.59   6.98     16.110    y   0.199   a
012506.75 +453631.0    8.94   9.09    122.677    y   0.187   a
012556.13 -475354.8    8.13   9.77    189.091    y   1.101   a
012609.29 -675032.4    8.81   9.81    345.       y   1.017   a
012739.81 +052111.2    7.56   8.41     64.678    y   0.289   a
012821.94 -431903.8    3.41   --      193.8      d   5.57    m
012941.17 +224934.4    7.5    7.7      70.7      y   0.1904  a
013113.52 +701553.2    5.83   --      134.1      d   7.95    m
013135.29 -532210.1    8.36   8.84    250.       y   1.46    a
013256.05 -365154.7    5.50   --      611.4908   d   8.08    m
013342.41 -121246.4    9.23   9.31    146.0      y   0.911   a
013419.42 -082727.3    8.8    9.1      97.86     y   0.286   a
013429.69 +343939.5   10.46  10.68    111.21     y   0.29    a
013500.96 -295438.0    7.2   11.5     111.8      y   1.4188  a
013500.96 -295438.0    7.51   8.94      4.56     y   0.178   a
013608.43 -295426.8    5.97   7.35   1503.58     y   3.155   a
013737.56 -092414.6    6.8    7.2      28.83     y   0.292   a
013900.79 -175703.9   12.45  12.95     26.52     y   1.95    a
013947.24 -561147.2    5.78   5.90    483.66     y   7.81689 a
014051.61 +495231.3    9.5   10.0      92.8      y   0.27    a
014054.30 +111713.5    9.7    9.7      75.91     y   0.218   a
014146.52 +423649.7    4.95  11.       19.5      y   0.58    a
014223.60 -064517.3    8.90   8.75    357.02     y   0.641   a
014223.60 -064517.3    8.90   8.75    676.7      y   0.989   a
014229.95 +201612.5    5.20   --      207.2707   d   4.55    m
014344.96 +093407.6    9.48   9.19    410.       y   1.295   a
014417.91 +573212.0    6.29   8.68    304.037    y   1.0149  a
014458.89 +270247.6    9.7    9.7      58.18     y   0.356   a
014500.71 +570700.3   10.04  10.45    180.44     y   0.73    a
014538.65 -250308.8    5.38   8.50   1192.2      y   4.652   a
014605.45 +634855.8    9.0    9.6     625.27     y   1.081   a
014613.37 +334318.6    9.07   9.84    280.646    y   0.4483  a
014620.17 +443848.6    8.8   10.3     480.       y   0.54    a
014740.51 -435815.9    8.47   9.10    232.       y   0.457   a
014930.53 +564450.9    9.4    9.9     197.       y   0.345   a
014940.24 -141356.9    9.18   9.01    111.28     y   0.259   a
014948.86 -382412.5    6.37   --     1122.3937   d  11.95    m
014953.13 +805311.2    7.58   8.12    173.19     y   0.38    a
014956.31 +765932.0    8.08   --      704.       d  19.      m
014956.31 +765932.0    8.08   --      731.       d  19.      m
015002.13 -040734.3   10.4   10.4     170.       y   0.43    a
015113.34 +243908.0    8.22   7.82    119.3      y   0.298   a
015157.60 +132538.0    9.46   9.87    200.       y   0.13    a
015245.64 -044715.7    9.95  10.02    263.       y   0.48    a
015245.64 -044715.7    9.95  10.02    466.03     y   0.662   a
015314.21 +152600.3    8.75   8.97    931.05     y   1.303   a
015333.34 +031114.9    4.62   --     1672.4000   d  13.10    m
015422.06 -422948.8    5.11   --      877.6541   d   5.91    m
015438.35 +204829.9    2.64   --      106.9954   d  36.1     m
015438.35 +204829.9    2.64   --      106.9954   d  11.32    m
015453.75 +404207.9    6.26   --      838.0      d   8.14    m
015507.39 +284752.6    7.67  10.00    332.79     y   0.489   a
015522.02 +025724.5   10.05  10.50    136.98     y   0.597   a
015553.74 +015058.3    6.79   6.84    162.0206   y   1.033   a
015701.33 +310122.4    8.16   9.30    205.       y   0.54    a
