%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
   93 15.1209 13.3822 0.0006 1773 661 1057.00  776.57 
   94 15.1665 13.3896 0.0004 1863 678  533.93  646.84 
   95 14.3804 13.4187 0.0008 1588 640  243.86  756.79 
   96 15.1910 13.3853 0.0005 1790 663  215.23  231.14 
   97 15.1722 13.4090 0.0009 1890 689  107.76 1002.03 
   98 15.5147 13.3878 0.0004 1861 677  446.55  168.82 
   99 15.1382 13.4457 0.0004 1856 688  460.84  289.22 
  100 15.3757 13.4437 0.0005 1787 679  489.54  518.00 
  101 15.7961 13.4498 0.0005 1838 691  493.51  445.58 
  102 15.9313 13.4501 0.0005 1842 682  473.07  226.33 
  103 15.2091 13.4809 0.0004 1849 685  470.32  676.26 
  104 15.2758 13.4690 0.0004 1818 671  525.15  202.39 
  105 14.6636 13.5083 0.0005 1861 682  485.63  120.19 
  106 14.4738 13.5121 0.0005 1878 646  763.68 1054.24 
  107 15.7796 13.5223 0.0008 1828 670 1110.98  327.55 
  108 14.5219 13.5272 0.0007 1875 691  492.65 1176.44 
  109 15.4167 13.5276 0.0008 1451 573   14.05  368.10 
  110 15.4519 13.5631 0.0005 1722 666  493.92  459.56 
  111 14.5645 13.5808 0.0004 1843 675  383.84  213.20 
  112 14.7024 13.5848 0.0004 1876 676  254.99  338.72 
  113 15.4497 13.5931 0.0007 1644 666  639.34  538.92 
  114 15.4383 13.5784 0.0004 1850 682  615.85  456.63 
  115 15.5477 13.6165 0.0005 1829 682  590.28  683.38 
  116 15.5808 13.6201 0.0004 1856 677  997.49  758.88 
  117 15.5184 13.6152 0.0005 1847 693  456.47  461.80 
  118 15.5491 13.6223 0.0004 1858 683  944.10  592.09 
  119 15.5031 13.6186 0.0004 1864 672  393.60  331.39 
  120 15.3406 13.6440 0.0007 1703 661  531.52  624.32 
  121 15.7182 13.6263 0.0005 1858 691  543.54 1040.93 
  122 14.8475 13.6655 0.0005 1866 673  242.78  158.00 
  123 15.6430 13.6406 0.0006 1725 670  584.10  589.11 
  124 15.4719 13.6349 0.0004 1740 670  698.71  829.13 
  125 15.7631 13.6670 0.0007 1867 681   66.25  652.74 
  126 15.6812 13.6820 0.0004 1861 684  563.02  657.70 
  127 15.5855 13.6903 0.0004 1845 684  469.09  533.46 
  128 15.6045 13.7059 0.0007 1783 668  895.24   41.13 
  129 15.5951 13.6942 0.0005 1851 685  202.42  498.85 
  130 14.7347 13.7346 0.0012 1893 691  123.31 1157.46 
  131 15.9985 13.7189 0.0005 1846 676  766.65  641.11 
  132 15.7032 13.7196 0.0005 1833 680  564.37  633.45 
  133 15.5426 13.7340 0.0005 1842 668  954.39  501.41 
  134 15.5628 13.7294 0.0004 1842 675  188.62  429.94 
  135 16.1776 13.6945 0.0007 1845 690  732.27 1139.20 
  136 15.7689 13.7274 0.0005 1788 687  553.66  712.51 
  137 15.5687 13.7364 0.0006 1748 679  599.04  499.13 
  138 14.9258 13.7434 0.0004 1847 680  697.91  836.29 
  139 15.6735 13.7465 0.0004 1856 685  478.82  558.76 
  140 15.2595 13.7438 0.0008 1870 697  394.12 1167.62 
  141 15.6339 13.7470 0.0004 1848 688  446.91  531.81 
  142 16.2924 13.7423 0.0006 1839 674  965.55  437.90 
  143 15.6342 13.7666 0.0005 1793 678  625.32  509.43 
  144 15.7904 13.7564 0.0005 1643 598  610.71  601.94 
  145 15.8388 13.7410 0.0015 1341 602 1144.34  706.39 
  146 15.7892 13.7689 0.0006 1762 667  562.10  728.52 
  147 15.7738 13.7827 0.0007 1586 659  359.55  735.43 
  148 15.6537 13.7712 0.0007 1730 668  461.20  635.13 
  149 15.7992 13.7873 0.0004 1845 688  525.09  695.83 
  150 15.8438 13.7830 0.0005 1773 688  323.88  748.12 
  151 15.6113 13.7933 0.0004 1855 680  627.49  210.44 
  152 15.5511 13.8108 0.0004 1813 672  463.33  674.50 
  153 15.8069 13.8121 0.0004 1824 690  696.61  544.78 
  154 15.8587 13.8116 0.0004 1850 679  382.36  477.82 
  155 15.0653 13.8331 0.0008 1872 680   70.16  811.15 
  156 15.6773 13.8140 0.0005 1855 687  568.75  575.20 
  157 15.7884 13.8242 0.0023 1567 650  145.29 1019.18 
  158 15.9013 13.8015 0.0004 1848 681  575.45  807.56 
  159 15.0564 13.8106 0.0008 1531 622  719.19 1102.89 
  160 15.8203 13.8241 0.0005 1851 686  380.11  493.55 
