%
%  no - oznaczenie gwiazdy
%  V - jasno"s"c w filtrze V
%  I - jasno"s"c w filtrze I
%  err_V - b"l"ad jasno"sci V
%  N_V - ilo"s"c obserwacji w filtrze V
%  N_I - ilo"s"c obserwacji w filtrze I
%  x - wsp"o"lrz"edna x na obrazie CCD (po"lno"c to -x) 
%  y - wsp"o"lrz"edna y na obrazie CCD (wsch"od to +y)
%
%  no    V       I    err_V   N_V N_I     x       y 
%       mag     mag    mag               
%
  394 17.6809 15.0961 0.0027 1631 628  218.00 1245.15 
  395 16.8039 15.1507 0.0008 1831 683  288.17  849.67 
  396 16.4750 15.1580 0.0007 1836 679  277.20  821.12 
  397 16.9330 15.1251 0.0022 1517 597  555.73  570.13 
  398 16.7901 15.1497 0.0007 1829 681  723.75  734.54 
  399 16.5412 15.1547 0.0009 1832 684  256.88  999.35 
  400 16.6065 15.1653 0.0008 1843 677  961.05  372.98 
  401 16.5106 15.1727 0.0009 1808 663  972.25  149.00 
  402 16.5087 15.1609 0.0007 1838 678  530.14  973.55 
  403 16.5707 15.1467 0.0011 1662 635  853.61 1245.16 
  404 16.6163 15.2054 0.0039 1877 693  458.89 1106.83 
  405 17.1512 15.1708 0.0009 1814 685  510.37  707.09 
  406 16.5776 15.1795 0.0011 1633 633  419.64  422.52 
  407 16.6799 15.2030 0.0008 1818 677 1031.84  405.66 
  408 16.6601 15.1800 0.0011 1642 634  538.31  711.80 
  409 16.5103 15.1959 0.0008 1831 687  326.16  930.65 
  410 17.6172 15.1961 0.0013 1803 682  915.09 1096.83 
  411 16.7218 15.1860 0.0015 1563 606  585.19  619.64 
  412 16.5820 15.1899 0.0007 1809 678  414.21  347.54 
  413 16.5213 15.2015 0.0007 1836 680  342.93  724.91 
  414 16.4858 15.1596 0.0011 1823 678  626.04  453.92 
  415 16.7254 15.2157 0.0008 1819 666  900.37  818.97 
  416 16.8249 15.1994 0.0021 1536 598  716.72  631.33 
  417 16.5122 15.1967 0.0008 1756 657  700.79  122.57 
  418 16.8805 15.1960 0.0009 1813 680  373.74 1019.93 
  419 17.4857 15.1932 0.0011 1760 661  978.87  970.91 
  420 17.6511 15.1773 0.0013 1816 677  821.70   99.67 
  421 16.5434 15.2243 0.0010 1846 682  101.44  835.27 
  422 16.6681 15.2152 0.0007 1833 678  792.65  722.17 
  423 16.6605 15.2174 0.0007 1835 684  745.33  758.83 
  424 16.6492 15.2201 0.0008 1833 679  892.28  332.91 
  425 16.6772 15.2156 0.0008 1779 679  775.09  204.69 
  426 16.6497 15.1952 0.0007 1798 681  514.93  568.59 
  427 16.5231 15.2011 0.0008 1796 671  423.35   61.84 
  428 16.6041 15.2341 0.0008 1801 680  453.14  507.74 
  429 16.4585 15.2321 0.0008 1799 665  407.29  601.34 
  430 16.6779 15.2236 0.0016 1562 558  580.95  650.83 
  431 16.6138 15.2370 0.0013 1592 625  298.11  373.01 
  432 16.7782 15.2164 0.0011 1693 636  476.52 1017.34 
  433 16.6996 15.2595 0.0009 1828 678  149.69  730.68 
  434 16.8041 15.2404 0.0011 1702 651  272.82  713.67 
  435 16.6027 15.2378 0.0009 1724 654  503.53  448.64 
  436 16.6361 15.2275 0.0010 1775 654  414.12 1003.31 
  437 17.1187 15.2287 0.0013 1584 634  894.73  704.27 
  438 17.3942 15.3189 0.0015 1710 628  900.18  880.86 
  439 16.5653 15.2470 0.0008 1799 670  599.88  201.35 
  440 16.6558 15.2482 0.0008 1806 662  889.44  957.14 
  441 16.7068 15.2424 0.0011 1719 658  777.17   94.49 
  442 17.4562 15.2622 0.0014 1817 678   49.78  874.01 
  443 16.6400 15.2499 0.0009 1706 654  683.78  224.93 
  444 16.6055 15.2639 0.0008 1811 676  441.24  540.66 
  445 16.5428 15.2517 0.0007 1826 672  678.13  272.20 
  446 16.7465 15.2766 0.0009 1806 675  160.99  695.26 
  447 17.2354 15.2548 0.0013 1735 665  540.46  277.85 
  448 16.6539 15.2876 0.0008 1814 679 1047.31  766.88 
  449 16.7415 15.2743 0.0011 1835 688  298.36 1155.00 
  450 16.9374 15.2757 0.0008 1796 680  777.66  707.77 
  451 16.7262 15.2728 0.0009 1722 660  487.82  867.35 
  452 16.8647 15.2877 0.0008 1776 669  648.72  579.44 
  453 16.5213 15.2792 0.0011 1587 617  641.38  799.65 
  454 16.2179 15.2992 0.0007 1814 668  490.13  578.58 
  455 16.7027 15.2902 0.0009 1822 671  484.23  493.98 
  456 16.7775 15.2883 0.0008 1831 677  968.52  806.32 
  457 16.5410 15.2884 0.0009 1753 670  423.74  418.46 
  458 16.6740 15.2974 0.0008 1838 674  943.47  401.81 
  459 16.6994 15.2884 0.0009 1835 686  388.96 1102.65 
  460 17.6324 15.2826 0.0012 1802 675  972.20  911.83 
  461 16.8801 15.3004 0.0010 1842 673  195.94  991.11 
  462 16.6578 15.3015 0.0008 1785 673  486.02  676.55 
  463 17.5350 15.2458 0.0025  713 273    5.21  835.52 
  464 16.7642 15.2679 0.0014 1823 629  831.14  706.13 
  466 17.3531 15.2746 0.0012 1601 645  670.40   24.84 
  467 16.6728 15.3202 0.0009 1736 672  529.16  532.03 
  468 16.7492 15.2798 0.0013 1504 565  402.86  468.44 
  469 16.7843 15.3127 0.0009 1830 674 1048.98  996.03 
  470 16.6915 15.3119 0.0011 1614 636  381.63  235.91 
  471 16.6410 15.3258 0.0009 1804 664  103.58  484.55 
  472 16.9141 15.3312 0.0009 1827 670 1037.32  618.38 
  473 16.9058 15.3230 0.0008 1821 683  601.65  812.19 
  474 16.6700 15.3479 0.0009 1814 678  183.05  679.95 
  475 16.6663 15.3553 0.0008 1835 673  247.21  467.27 
  476 16.8697 15.3394 0.0010 1832 664 1081.81  616.23 
  477 16.8586 15.3246 0.0010 1788 614  688.87  740.46 
  478 17.3548 15.3196 0.0015 1531 621  432.94  902.65 
  479 16.6848 15.3488 0.0008 1821 677  982.09  886.50 
  480 16.7783 15.3563 0.0014 1780 658  292.87 1232.68 
  481 16.7743 15.3563 0.0013 1803 664 1108.12   94.88 
  482 16.7857 15.3575 0.0011 1640 641  532.10  635.72 
  483 16.9072 15.3531 0.0008 1819 684  572.02 1023.16 
  484 16.7273 15.3182 0.0052 1399 587  399.14  707.40 
  485 16.6609 15.3611 0.0008 1802 672  629.26  118.60 
  486 16.8179 15.3557 0.0023 1507 595  706.26  600.05 
  487 16.7938 15.3838 0.0009 1828 661 1081.99  680.23 
  488 16.7010 15.3306 0.0031 1482 590  797.14  195.38 
  489 16.8780 15.3821 0.0008 1797 652  822.13  811.70 
  490 16.6214 15.3704 0.0008 1781 668  546.04  183.23 
  491 16.6998 15.3505 0.0083 1615 634  462.24  472.52 
  492 16.9554 15.3964 0.0010 1736 663  757.56  753.74 
  493 16.8294 15.4003 0.0009 1774 677  476.35  758.54 
  494 17.0682 15.3894 0.0009 1814 685  846.60  917.67 
  495 16.8627 15.3841 0.0009 1844 677  655.55  547.30 
  496 16.8764 15.4045 0.0011 1705 649 1011.87  279.06 
  497 16.9841 15.4093 0.0008 1822 680  743.42  589.64 
  498 16.6060 15.4159 0.0008 1841 670  205.29  671.97 
  499 16.9104 15.4140 0.0008 1830 676  262.44  580.48 
  500 16.7675 15.4152 0.0009 1807 666  481.27  447.95 
  501 16.8385 15.4158 0.0010 1817 680  970.73  400.40 
  502 17.5135 15.3983 0.0015 1744 672  614.92 1027.45 
  503 16.8536 15.4092 0.0010 1805 639  447.09  926.60 
  504 16.8231 15.4335 0.0013 1639 615  537.31  616.61 
  505 16.9580 15.4475 0.0008 1793 677  698.77  465.77 
  506 16.8200 15.4571 0.0009 1833 673  244.78  918.74 
  507 16.7502 15.4389 0.0009 1807 666  815.58  140.09 
  508 17.4057 15.4415 0.0010 1820 661  764.36  465.64 
  509 17.0270 15.4434 0.0012 1781 649  922.86 1226.61 
  510 16.8983 15.4711 0.0010 1740 664  411.65  697.52 
  511 16.8005 15.4440 0.0009 1820 679  671.39  177.00 
  512 16.9798 15.4342 0.0022 1448 616  594.41  612.10 
  513 17.0408 15.4666 0.0011 1804 670  682.14  654.07 
  514 16.9910 15.4639 0.0009 1817 675  908.76  350.29 
  515 16.8944 15.4728 0.0010 1777 652  240.90  864.09 
  516 16.9818 15.4592 0.0012 1757 647  598.88 1220.18 
  517 16.6369 15.4709 0.0008 1839 681  409.78  517.54 
  518 17.3282 15.2866 0.0033  397  97   -0.22  634.47 
  519 17.1719 15.4757 0.0009 1784 685  671.27  691.25 
  520 16.8401 15.4794 0.0008 1833 679  383.51  504.86 
  521 16.8545 15.4817 0.0009 1747 673  483.50  569.53 
  522 17.0655 15.4934 0.0009 1818 674  876.82  627.07 
  523 17.1273 15.4861 0.0009 1807 674  833.03  636.98 
  524 16.8902 15.4741 0.0014 1625 642  994.95   54.24 
  525 16.8724 15.4790 0.0012 1790 681  842.90   44.38 
  526 17.2405 15.4894 0.0010 1800 678  357.20  816.71 
  527 16.9435 15.4935 0.0015 1529 602  545.05  684.77 
  528 16.8443 15.4846 0.0011 1759 648  190.01  467.44 
  529 16.9277 15.4965 0.0011 1646 636  852.55  823.24 
  530 17.6300 15.4896 0.0013 1798 658 1096.34  491.99 
  531 16.7445 15.5258 0.0009 1847 677  159.38  793.79 
  532 17.6463 15.4944 0.0013 1796 673 1130.40  777.35 
  533 18.3595 15.4718 0.0021 1705 661  555.19  545.48 
  534 17.0649 15.5162 0.0027 1529 580  717.50  634.18 
  536 16.9283 15.5094 0.0009 1767 670  655.30  477.25 
  537 17.0931 15.5085 0.0010 1770 677  614.78  700.35 
  538 17.1331 15.5173 0.0015 1702 655  276.53  714.97 
  539 16.8364 15.5259 0.0009 1774 653  422.72  685.55 
  540 16.9051 15.5273 0.0009 1817 669 1033.36  795.90 
  541 17.0158 15.5024 0.0018 1572 619  533.22  413.23 
  542 16.9385 15.5209 0.0012 1639 659  542.21  530.25 
  543 17.8007 15.5104 0.0016 1802 684  210.21 1154.01 
  544 16.7886 15.5187 0.0008 1811 670  463.89  246.72 
  545 17.1504 15.5323 0.0011 1815 669 1056.83  419.90 
  546 16.8633 15.5212 0.0011 1830 676  114.66  996.50 
  547 16.8780 15.5504 0.0009 1796 671  188.09  579.55 
  548 17.0585 15.5470 0.0009 1801 671  809.34  657.78 
  549 17.3204 15.5008 0.0022 1634 626  542.87  259.26 
  550 16.9441 15.5425 0.0009 1780 670  563.18  735.26 
  551 16.8809 15.5253 0.0009 1825 671  445.94  121.92 
  552 17.1506 15.5171 0.0015 1449 561  822.42 1054.07 
  553 17.0865 15.5221 0.0010 1591 683  418.72  982.44 
  554 16.9476 15.5175 0.0023  844 327    6.44  980.73 
  555 17.0080 15.5524 0.0009 1819 673  332.90  631.87 
  556 17.0174 15.5677 0.0011 1824 676   68.52  135.82 
  557 17.1265 15.5499 0.0010 1819 676  740.92  846.01 
  558 16.8810 15.5511 0.0010 1805 678  436.69  538.04 
  559 17.0180 15.5357 0.0039 1340 580  788.32  597.19 
  560 17.1454 15.5462 0.0011 1763 661  635.72  899.50 
  561 17.1151 15.5568 0.0010 1711 639  941.77  746.11 
  562 17.0731 15.5758 0.0013 1798 671  930.09 1206.29 
  563 16.8751 15.6021 0.0016 1843 684   48.50 1103.99 
  564 17.1526 15.5322 0.0052 1270 573  733.46  867.27 
  565 17.0197 15.5792 0.0019 1594 630  576.51  586.18 
  566 16.9600 15.5828 0.0010 1806 680  463.99  641.95 
  567 16.8894 15.5818 0.0008 1813 677  433.67  638.80 
  568 17.2742 15.5841 0.0015 1768 670 1111.43  231.28 
  569 17.0970 15.6497 0.0068 1849 687  955.04  522.27 
  570 16.8643 15.5828 0.0010 1819 669  636.04  215.11 
  571 17.4436 15.5507 0.0011 1812 671  735.45  135.77 
  572 17.1566 15.5865 0.0011 1798 680  785.77  493.56 
  573 17.4918 15.5798 0.0011 1793 675  937.26  263.96 
  574 17.2638 15.5698 0.0012 1810 637  800.20 1154.11 
  575 16.8874 15.6146 0.0009 1811 672  290.37  759.78 
  576 17.1066 15.5951 0.0011 1774 674  735.10  479.81 
  577 16.9381 15.5986 0.0009 1824 676  434.18  510.48 
  578 16.8921 15.5936 0.0014 1686 652  601.49  485.72 
  579 17.8086 15.5931 0.0014 1756 662  346.00  903.58 
  580 16.8715 15.6015 0.0011 1828 673  570.73  211.94 
  581 16.9417 15.5985 0.0009 1811 665  518.26  176.10 
  582 16.9660 15.6184 0.0009 1796 676  654.61  300.92 
  583 16.9542 15.6251 0.0009 1820 680  650.72  467.82 
  584 17.1386 15.6313 0.0010 1786 674  762.40  758.41 
  585 16.9940 15.6355 0.0010 1794 678  887.23  870.62 
  586 18.3861 15.5940 0.0021 1769 687  448.21 1178.67 
  587 17.2058 15.6230 0.0012 1829 664  990.00 1140.09 
  588 17.2002 15.6210 0.0013 1683 643  512.45  873.90 
  589 17.1005 15.6233 0.0010 1815 679  956.83  200.69 
  590 17.1759 15.6250 0.0013 1718 656  394.78  707.17 
  591 16.9205 15.6245 0.0011 1780 664  861.17  193.51 
  592 17.1971 15.6226 0.0009 1794 671  394.28  246.91 
  593 17.1566 15.6385 0.0012 1771 647  596.06  856.52 
  594 17.1683 15.6348 0.0010 1821 677  861.76  320.28 
  595 16.9274 15.6472 0.0009 1814 674  570.51  467.53 
  597 17.0915 15.6306 0.0010 1821 684  417.86  404.16 
  598 17.0190 15.6367 0.0021 1769 660  508.57  565.15 
  599 16.9862 15.6509 0.0009 1789 660  619.28  395.76 
  600 17.1799 15.6056 0.0013 1573 647  518.77   23.67 
  601 17.3273 15.6303 0.0012 1759 671  585.64 1142.86 
  602 17.0785 15.6380 0.0011 1817 668  593.40  457.57 
  603 16.8977 15.6641 0.0011 1766 660  180.45  753.72 
  604 17.0933 15.6648 0.0011 1681 655  576.16  654.61 
  605 17.1400 15.6583 0.0011 1778 675  632.81  852.28 
  606 18.1450 15.6422 0.0018 1758 667  699.13  538.62 
  607 16.9638 15.6739 0.0011 1808 680  289.96 1155.52 
  608 17.3336 15.6696 0.0010 1815 675  400.44  790.15 
  609 17.4347 15.6589 0.0011 1766 674  486.03  709.78 
  610 17.0680 15.6784 0.0014 1836 682  126.28 1056.28 
  611 16.9973 15.6320 0.0019  836 335    6.13  171.36 
  612 17.2504 15.8238 0.0026 1822 693  929.86 1061.47 
  613 17.2900 15.6474 0.0015 1591 614  633.34  711.64 
  614 17.1566 15.6720 0.0012 1787 667 1124.94  496.88 
  615 17.1429 15.6658 0.0041 1663 584  719.14  668.89 
  616 17.6126 15.6602 0.0019 1810 682 1084.28  953.64 
  617 17.1879 15.6816 0.0011 1762 662  729.61  601.65 
  618 16.8671 15.6755 0.0013 1364 546   13.00  693.27 
  619 17.9039 15.6681 0.0021 1666 643  834.84  763.25 
  620 17.0194 15.6756 0.0011 1753 670  504.75  571.08 
  621 17.8824 15.6595 0.0015 1646 680  759.10  652.13 
  622 17.2237 15.6797 0.0010 1808 677  617.03  671.45 
  623 17.2326 15.6885 0.0010 1787 671  435.13  707.07 
  624 17.0730 15.6871 0.0010 1811 671  734.19  836.94 
  625 17.2505 15.6917 0.0011 1813 681  884.27 1040.04 
  626 16.9901 15.6854 0.0009 1816 672  547.64  380.29 
  627 17.0618 15.6969 0.0010 1758 659  408.00  878.69 
  628 17.0907 15.6899 0.0010 1802 677  677.70  316.27 
  629 17.0457 15.6835 0.0010 1818 675  492.77  630.56 
  630 16.9688 15.6925 0.0018 1496 597 1143.96  840.63 
  631 17.1928 15.6957 0.0011 1801 677  667.98  497.79 
  632 17.1435 15.6955 0.0010 1752 669  259.79  477.04 
  633 17.0483 15.7047 0.0009 1803 674  373.21  524.22 
  634 17.2088 15.6927 0.0011 1767 665  444.11  877.75 
  635 17.2062 15.6987 0.0011 1780 682  159.50  712.74 
  636 17.1620 15.7074 0.0012 1780 674  596.72  543.73 
  637 17.2973 15.7090 0.0010 1809 681  745.38  724.67 
  638 16.9809 15.6940 0.0010 1815 651  814.28  153.04 
  639 17.0264 15.6910 0.0011 1819 675  517.98  545.82 
  640 17.2583 15.7077 0.0017 1713 628  622.37  628.71 
  641 17.3480 15.7053 0.0011 1788 677  852.85  937.40 
  642 17.2095 15.6955 0.0025 1463 599  540.92  696.01 
  643 17.0221 15.7110 0.0009 1814 676  474.05  289.23 
  644 17.0460 15.7231 0.0009 1795 672  755.70  337.09 
  645 17.1645 15.7160 0.0011 1809 669 1005.37  335.60 
  646 17.1971 15.7072 0.0010 1824 671  708.43  841.40 
  647 17.3811 15.7099 0.0012 1819 679  703.14 1097.65 
  648 17.1889 15.7108 0.0010 1825 673  473.90  725.67 
  650 16.8782 15.6458 0.0062  873 371    7.12  414.87 
  651 17.5139 15.7768 0.0016 1751 652  928.15  616.78 
  652 17.2541 15.7328 0.0010 1816 670  305.95  457.68 
  653 16.9863 15.7208 0.0010 1805 683  578.18  156.01 
  654 17.9558 15.7275 0.0017 1804 677  198.78  855.17 
  655 17.2213 15.7412 0.0011 1754 655  698.65  431.65 
  656 17.2215 15.7365 0.0015 1682 639  703.20  661.31 
  657 17.6745 15.7268 0.0015 1812 685  845.94  339.05 
  658 17.1740 15.7306 0.0012 1641 627  700.17  918.77 
  659 17.1582 15.7452 0.0018 1813 680  235.69  292.82 
  660 17.2526 15.7536 0.0010 1792 668  723.75  576.12 
  661 17.2156 15.7409 0.0019 1527 587  524.77  638.40 
  662 17.3382 15.7508 0.0011 1806 670  633.26  745.47 
  663 17.3330 15.7444 0.0014 1784 663  856.37  193.56 
  664 17.1567 15.7439 0.0013 1758 672  542.78  249.75 
  665 17.8029 15.7521 0.0018 1760 669 1114.45  754.90 
  666 17.4373 15.7465 0.0015 1722 655  379.65 1161.52 
  667 17.2691 15.7634 0.0013 1738 670  328.88  880.52 
  668 17.0893 15.7574 0.0010 1824 680  511.62  990.80 
  669 17.2146 15.7707 0.0011 1803 682  352.08  767.14 
  670 17.3930 15.7783 0.0012 1801 663 1045.04  703.50 
  671 17.2495 15.7748 0.0011 1755 662  389.87  468.02 
  672 17.4608 15.7620 0.0012 1813 668  658.27  644.57 
  673 17.1114 15.7698 0.0022 1554 618  531.22  554.57 
  674 17.0219 15.7655 0.0012 1780 672  749.31 1189.35 
  676 17.4969 15.7648 0.0012 1815 668  526.36 1006.20 
  677 17.3821 15.7919 0.0011 1804 674  943.97  897.30 
  678 17.5065 15.8191 0.0021 1794 650  939.74 1108.91 
  679 17.1514 15.7945 0.0014 1801 600  679.06  468.08 
  680 17.3844 15.7875 0.0012 1792 679  452.61 1015.60 
  681 17.2066 15.8017 0.0014 1704 661   87.92  716.91 
  682 17.2425 15.7975 0.0013 1794 664 1112.60  385.13 
  683 17.2757 15.8117 0.0014 1725 646  144.53  765.44 
  684 16.7907 15.5608 0.0090 1176 568  521.53  654.89 
  685 17.8675 15.7909 0.0015 1809 674  116.94  656.01 
  686 17.1396 15.7986 0.0012 1765 660  660.80 1220.30 
  687 17.3711 15.8143 0.0014 1747 657  310.24 1057.26 
  688 17.3456 15.7963 0.0011 1796 682  586.00  807.89 
  689 16.8341 15.4433 0.0015  800 280  552.22  602.16 
  690 17.4189 15.8171 0.0013 1737 656  718.69  714.86 
  691 17.5251 15.8151 0.0015 1677 649  687.17  716.28 
  692 17.2283 15.8211 0.0011 1800 679  650.56  433.24 
  693 17.3447 15.8166 0.0012 1789 676  687.92  673.46 
  694 17.3505 15.8109 0.0012 1779 660  699.33  859.39 
  695 17.0707 15.7663 0.0023 1384 545  583.34  278.88 
  696 17.3448 15.8171 0.0011 1805 660  950.99 1008.22 
  697 17.2140 15.8202 0.0013 1744 658  417.08 1058.10 
  698 17.7487 15.8230 0.0013 1785 668  270.48  563.88 
  699 17.1083 15.8368 0.0011 1754 662 1139.03  808.16 
  700 18.0114 15.8155 0.0017 1735 669  688.16  645.67 
  701 17.3296 15.8330 0.0012 1814 674  672.65  439.39 
  702 17.1377 15.8415 0.0012 1738 672  580.24  467.94 
  703 17.2510 15.8326 0.0013 1741 651  657.71  794.05 
  704 17.2703 15.8411 0.0020 1634 643  466.14  716.70 
  705 17.3187 15.8092 0.0016 1479 612 1149.01  864.72 
  706 17.3226 15.8212 0.0011 1798 673  716.15 1131.55 
  707 17.4196 15.8348 0.0024 1648 612  618.76  635.42 
  708 17.7601 15.8185 0.0013 1805 679  708.83  192.76 
  709 17.6577 15.7839 0.0023 1326 582  255.15   22.11 
  710 17.3607 15.8559 0.0013 1802 654  968.44  471.32 
  711 17.0424 15.7991 0.0024 1343 543  320.37  920.86 
  712 17.1492 15.8449 0.0014 1673 651  509.59  510.81 
  713 17.2116 15.8380 0.0014 1810 636  562.57  578.72 
  714 17.3059 15.8518 0.0012 1832 658   63.51  476.01 
  715 17.2257 15.8328 0.0014 1614 627  785.51   92.80 
  716 17.3638 15.8669 0.0028 1575 611  585.33  651.62 
  717 17.2431 15.8562 0.0018 1682 642  560.69  637.22 
  718 17.3504 15.8618 0.0011 1808 678  795.49  607.54 
  719 17.3510 15.8508 0.0011 1791 654  611.52  838.15 
  720 17.4708 15.8458 0.0014 1779 667  949.59   70.29 
  722 18.2627 15.8468 0.0030 1449 595  838.81  761.72 
  723 17.2724 15.8767 0.0011 1817 682  420.53  642.98 
  724 17.2268 15.8812 0.0010 1816 672  287.68  585.26 
  725 17.4237 15.8750 0.0011 1808 675  802.43  608.60 
  726 17.5049 15.8829 0.0018 1762 613  610.09  654.81 
  727 17.2861 15.8793 0.0011 1800 667  500.87  618.12 
  728 17.1085 15.8672 0.0011 1820 675  366.80   88.19 
  729 17.2396 15.8628 0.0012 1817 677  937.79  252.13 
  730 17.3596 15.8349 0.0020 1429 558  844.04  533.26 
  731 17.2483 15.8797 0.0012 1777 670  501.28  514.62 
  732 17.4454 15.8848 0.0012 1792 669  536.22  749.55 
  733 17.2131 15.8749 0.0012 1735 653  457.43  534.09 
  734 17.3664 15.8847 0.0012 1798 666  261.98  591.43 
  735 17.2414 15.9017 0.0014 1735 658 1113.15 1007.53 
  736 17.2145 15.8808 0.0012 1733 648  584.19  138.48 
  737 17.7366 15.8916 0.0037 1596 633  777.97  725.32 
  738 17.4804 15.8789 0.0014 1772 675  705.01 1109.67 
  739 17.3845 15.8923 0.0013 1801 673  430.69 1099.53 
  740 17.1052 15.9008 0.0011 1829 675  230.77  572.42 
  741 17.4455 15.8835 0.0022 1485 577  590.82  666.95 
  742 17.1993 15.8907 0.0021 1601 627  576.58  477.67 
  743 17.3683 15.8935 0.0012 1803 682  494.28  992.68 
  744 17.4740 15.8968 0.0013 1741 662  696.28  740.35 
  745 17.1866 15.8946 0.0015 1692 647  120.96   58.95 
  746 17.3738 15.8612 0.0051 1489 599  233.76  826.25 
  747 17.0860 15.9110 0.0012 1730 652   72.00  361.46 
  748 17.7397 15.8957 0.0013 1794 669  524.99  350.49 
  749 17.2316 15.8953 0.0013 1803 675 1035.05  177.83 
  750 17.5130 15.9053 0.0012 1780 670  661.02  700.43 
  751 17.4045 15.9075 0.0049 1516 568  680.03  432.97 
  752 17.3443 15.9140 0.0013 1814 658  416.13  538.60 
  753 17.2820 15.9002 0.0012 1765 663  360.43  281.23 
  754 17.3033 15.8901 0.0025 1505 595  886.41  346.63 
  755 17.2943 15.9172 0.0011 1806 674  437.51  651.58 
  756 17.9767 15.9047 0.0016 1779 652  982.68  575.69 
  757 17.2838 15.9154 0.0011 1802 669  275.14  373.17 
  758 17.2797 15.9016 0.0011 1794 674  368.10  172.40 
  759 18.5557 15.8876 0.0025 1779 668 1041.87 1196.41 
  760 17.1390 15.9023 0.0011 1803 650  571.44  221.34 
  761 17.1313 15.9242 0.0019 1505 590   16.48 1079.45 
  762 17.1801 15.9042 0.0012 1747 673  631.32   40.51 
  763 17.8122 15.9090 0.0017 1814 680  622.44  783.01 
  764 17.8210 15.9030 0.0015 1791 626  595.93  271.74 
  765 17.4092 15.9419 0.0012 1803 675  461.43  757.17 
  766 17.8291 15.8420 0.0033  551 184    2.69  506.92 
  767 17.5897 15.9281 0.0016 1707 662  615.04  743.91 
  768 17.9460 15.9025 0.0023 1571 600  722.88  189.79 
  769 17.2254 15.9545 0.0012 1812 672   31.51  471.28 
  770 17.2384 15.9394 0.0011 1815 675  245.23  340.81 
  771 17.5195 15.9213 0.0020 1569 613  702.60 1185.35 
  772 17.3521 15.9482 0.0011 1792 668  453.11  804.74 
  773 17.3766 15.9480 0.0059 1705 576  526.20  614.23 
  774 17.2945 15.9789 0.0014 1784 677  450.63  397.28 
  775 17.4987 15.9529 0.0012 1800 680  727.25  563.19 
  776 17.5413 15.9505 0.0014 1747 660  630.96  416.07 
  777 18.1759 15.9450 0.0019 1786 666  611.51  636.91 
  778 17.3142 15.9510 0.0011 1795 673  301.43  167.27 
  779 17.5565 15.9715 0.0018 1825 668 1022.18 1133.43 
  780 17.3587 15.9506 0.0034 1485 604  603.15  535.47 
  781 17.4932 15.9637 0.0014 1793 674  686.76  937.41 
  782 17.9714 15.9433 0.0016 1802 676  993.47  251.04 
  783 18.0474 15.9544 0.0016 1780 671  744.61  398.92 
  784 17.3772 15.9569 0.0014 1711 635  347.12  357.18 
  785 18.3215 15.9512 0.0021 1771 674  589.59  789.48 
  786 17.2595 15.9677 0.0022 1607 647 1059.13  772.53 
  787 17.2850 15.9630 0.0017 1783 681  293.39 1178.86 
  789 17.5247 15.9672 0.0013 1792 661  620.25  582.01 
  790 17.3665 15.9833 0.0013 1798 675 1072.19  427.54 
  791 17.3445 15.9575 0.0012 1816 679  200.41  149.50 
  792 17.4696 15.9711 0.0011 1800 679  323.84  439.71 
  793 17.3458 15.9516 0.0013 1794 665  494.17   52.26 
  794 17.8888 15.9680 0.0017 1705 647  984.49  844.83 
  795 17.2340 15.9779 0.0017 1632 615  239.64  407.41 
  796 17.4011 15.9769 0.0013 1815 636 1090.05  551.61 
  797 17.3547 15.9854 0.0015 1812 670  123.03 1143.55 
  798 17.4569 15.9733 0.0013 1708 640  394.58  379.95 
  799 17.3955 15.9637 0.0017 1598 634  541.87  433.00 
  800 17.3231 15.9683 0.0014 1601 620  631.63  408.23 
  801 17.4371 15.9853 0.0014 1790 668 1085.06 1015.95 
  802 17.3600 15.9757 0.0011 1806 678  420.79  282.90 
  803 17.1885 15.9779 0.0012 1796 671   99.53  142.04 
  804 17.4019 15.9933 0.0013 1763 658 1138.05  771.88 
  805 17.2752 15.9758 0.0012 1809 671  525.43  128.47 
  806 17.2896 15.9815 0.0012 1794 667  257.56   77.57 
  807 17.8917 15.9710 0.0026 1754 654   76.98  803.02 
  808 17.4534 15.9739 0.0017 1512 588  729.73  395.41 
  809 17.6385 16.0027 0.0014 1797 682  107.66  498.57 
  810 17.2734 15.9824 0.0012 1816 670  589.47  232.20 
  811 17.5286 15.9860 0.0013 1793 671  138.25   78.40 
  812 17.5786 15.9832 0.0015 1801 673  917.91   86.84 
  813 17.3767 15.9817 0.0017 1540 617  543.38  237.32 
  814 17.6987 15.9845 0.0015 1777 671  585.64 1199.12 
  815 17.3811 16.0097 0.0012 1762 673  493.75  543.63 
  816 17.2510 15.9826 0.0012 1785 666  607.61   94.41 
  817 17.5697 16.0025 0.0017 1695 633  640.96  609.20 
  818 17.7621 15.9977 0.0015 1807 659   70.80  298.08 
  819 18.2500 16.0125 0.0024 1794 661   45.92 1166.42 
  820 17.7598 16.0130 0.0016 1774 667  936.78  812.59 
  822 17.4492 16.0007 0.0017 1637 623  551.73  809.44 
  823 17.6326 16.0032 0.0014 1809 679  917.62  235.80 
  824 18.1064 15.9939 0.0021 1757 659 1063.23  204.87 
  825 17.5919 16.0255 0.0015 1823 671  105.76  816.51 
  826 17.3927 16.0221 0.0014 1810 680  453.46  388.91 
  827 17.4811 16.0305 0.0016 1783 678  535.74  786.00 
  828 17.3657 16.0266 0.0013 1810 669  913.22  599.23 
