%
% HIP - numer gwiazdy
% RA - rektascencja
% Dec - deklinacja
% pi - paralaksa
% +/- - b"l"ad paralaksy
% pm_RA*cos(Del) - ruch w"lasny w rektascencji pomno"zony przez cos(Del)
% +/- - b"l"ad powy"zszego
% pm_Dec - ruch w"l"asny w deklinacji
% +/- - b"l"ad powy"zszego
% v_r - pr"edko"s"c radialna
% +/- - b"l"ad powy"zszego
%
% HIP      RA           Dec          pi      +/-  pm_RA*cos(Del) +/-    pm_Dec   +/-     v_r    +/-
%        [h m s]      [g am as]       [marcsec]      [marcsec/yr]       [marcsec/yr]       [km/s]
%
 19082  04 05 25.60  +19 26 32.0    14.56    3.17    123.06    3.22    -28.43    2.24   38.33  0.22 
 19098  04 05 39.60  +17 56 16.0    19.81    1.39    126.34    1.65    -29.13    1.19   37.61  0.05 
 19117  04 05 54.28  +11 57 58.1    29.02    2.12    216.53    2.17     17.79    1.66   37.28  0.13 
 19148  04 06 16.06  +15 41 53.4    21.41    1.47    118.53    1.15    -19.59    0.88   38.04  0.17 
 19207  04 07 01.15  +15 20 06.3    23.57    2.26    122.63    2.06    -18.96    1.53   38.95  0.23 
 19261  04 07 41.91  +15 09 46.2    21.27    1.03    127.06    1.14    -22.75    0.89   36.35  0.26 
 19263  04 07 43.12  +16 31 07.9    19.70    1.68    123.10    1.65    -25.25    1.23   38.72  0.05 
 19316  04 08 26.60  +12 11 30.7    24.90    2.59    115.35    2.87    -13.05    2.36   38.43  0.28 
 19365  04 08 54.31  +29 11 26.7    10.68    1.43     84.78    1.37    -38.77    1.33   37.92  0.15 
 19386  04 09 09.03  +00 10 44.1    15.37    0.97     65.10    1.33     18.38    1.23   33.60  0.39 
 19441  04 09 49.26  +09 18 19.8    29.78    1.90    156.70    2.14     -2.81    1.94   39.24  0.16 
 19449  04 09 54.14  +04 19 25.1    12.14    2.03     49.01    2.84      7.02    2.41    0.00  0.00 
 19472  04 10 13.80  +17 22 07.7    29.88    2.67    414.43    2.50   -152.23    1.74    0.00  0.00 
 19481  04 10 21.62  +12 04 38.6    23.85    1.26    168.24    1.74     89.45    1.57   38.00  4.50 
 19504  04 10 42.29  +18 25 24.0    23.22    0.92    123.92    0.94    -31.41    0.66   37.10  0.30 
 19572  04 11 37.97  +29 49 49.6    12.91    1.19    119.59    1.42   -109.73    1.23   78.24  0.27 
 19641  04 12 31.32  +17 16 39.0    11.42    1.27     49.14    1.29    -19.59    1.17   26.97  0.15 
 19696  04 13 10.87  +16 46 01.0    11.33    1.61    147.29    1.60    -45.69    1.38   -5.92  0.33 
 19767  04 14 18.09  +12 20 53.7    27.98    1.18    341.22    1.29    -59.45    1.07   53.40  7.20 
 19781  04 14 25.59  +14 37 30.3    21.91    1.27    105.61    1.39    -19.86    1.08   39.24  0.06 
 19786  04 14 27.19  +12 26 07.2    22.19    1.45    117.48    1.51     -9.35    1.39   39.32  0.14 
 19789  04 14 30.36  +22 27 07.0    18.12    0.92     95.09    0.83    -34.10    0.70   38.40  1.20 
 19793  04 14 32.24  +23 34 30.2    21.69    1.14    121.09    1.23    -48.34    0.93   38.21  0.23 
 19796  04 14 34.27  +10 42 05.0    21.08    0.97    119.81    1.12     -5.22    1.03   38.50  0.15 
 19808  04 14 51.86  +13 03 18.0    22.67    2.30    114.46    3.24    -19.28    2.93   40.51  0.15 
 19834  04 15 10.34  +14 23 54.6    31.94    3.74    118.87    4.67    -11.92    3.97   38.79  0.36 
 19862  04 15 33.61  +15 42 22.8    31.11    2.76    112.78    2.98    -25.84    2.43   38.96  0.17 
 19877  04 15 46.21  +15 24 02.7    22.51    0.82    114.38    0.85    -22.07    0.69   36.40  1.20 
 19934  04 16 33.41  +21 54 27.2    19.48    1.17    105.61    1.31    -37.59    1.11   38.46  0.19 
 19981  04 17 06.80  +22 40 24.3    30.56    1.52    117.96    1.60    -42.19    1.12   28.82  0.20 
 20082  04 18 19.20  +16 05 18.2    20.01    1.91    121.88    2.50    -19.72    2.10   39.64  0.08 
 20086  04 18 21.92  +17 25 18.3    19.57    1.86    120.57    1.86    -40.55    1.48   40.53  0.04 
 20130  04 18 57.90  +19 54 24.4    23.53    1.25    113.95    1.54    -36.39    1.22   39.58  0.06 
 20146  04 19 07.94  +17 31 29.4    21.24    1.32    112.80    1.42    -29.89    1.10   38.80  0.08 
 20187  04 19 36.77  +12 37 27.7    20.13    2.02    168.47    2.81    -19.23    1.96   37.99  0.06 
 20197  04 19 44.57  +14 16 27.1    12.93    1.06     80.17    1.26   -217.40    1.14  -19.10  1.30 
 20205  04 19 47.53  +15 37 39.7    21.17    1.17    115.29    1.21    -23.86    0.98   39.28  0.11 
 20219  04 19 57.63  +14 02 06.9    22.31    0.92    115.42    0.94    -19.91    0.83   42.00  2.50 
 20226  04 20 03.96  +23 35 55.9     4.91    0.88    140.66    0.85    -35.19    0.74    8.78  0.19 
 20237  04 20 12.90  +19 14 00.8    22.27    0.93    115.67    1.04    -34.02    0.87   38.81  0.18 
 20261  04 20 36.24  +15 05 43.8    21.20    0.99    108.79    0.95    -20.67    0.82   36.20  1.20 
 20319  04 21 09.82  +06 06 13.0    11.64    3.73    669.26    4.12    -30.20    3.18    0.00  0.00 
 20349  04 21 31.58  +21 02 23.9    19.55    0.89    105.20    1.08    -36.00    0.91   37.10  1.20 
 20350  04 21 32.20  +18 25 03.6    19.83    0.89    111.05    0.95    -31.69    0.80   40.80  2.40 
 20357  04 21 34.73  +14 24 35.4    19.46    1.02    105.19    1.00    -19.11    0.87   39.20  0.21 
 20415  04 22 20.63  +30 25 26.4    15.44    1.28    108.46    1.22    -48.83    1.08   26.77  0.20 
 20480  04 23 22.27  +21 22 45.1    20.63    1.34     99.77    1.45    -39.07    1.15   39.24  0.24 
 20485  04 23 25.20  +15 45 47.5    21.08    2.69    126.22    2.99    -30.50    2.48   39.30  0.21 
 20491  04 23 30.34  +24 24 19.8    20.04    0.89     93.11    1.04    -45.08    0.85   35.90  0.50 
 20492  04 23 32.27  +14 40 13.9    21.23    1.80    107.57    1.90    -18.24    1.37   40.29  0.06 
 20527  04 23 54.34  +14 03 07.7    22.57    2.78    115.90    2.93    -15.21    2.13   40.64  0.26 
 20540  04 24 04.48  +12 58 21.0     6.58    1.09     69.19    1.11    -36.40    0.88   59.30  1.00 
 20542  04 24 05.69  +17 26 39.2    22.36    0.88    109.99    1.13    -33.47    0.87   39.20  1.20 
 20553  04 24 12.40  +14 45 29.8    22.25    1.52     97.38    1.53    -33.51    1.06   37.48  0.19 
 20557  04 24 14.50  +21 44 10.9    24.47    1.06    119.10    1.41    -46.63    0.91   38.94  0.13 
 20563  04 24 16.87  +18 00 10.8    19.35    1.79    112.72    2.48    -33.20    1.99   39.95  0.16 
 20567  04 24 22.21  +17 04 44.5    18.74    1.17     99.08    1.52    -27.93    0.90   40.10  0.60 
 20605  04 24 47.99  +15 52 29.2    24.41    6.94    102.58   10.11    -26.06    9.06   40.20  0.36 
 20614  04 24 57.06  +19 02 31.5    20.40    0.74    110.73    0.88    -32.50    0.74   36.60  1.20 
 20626  04 25 10.79  +25 44 57.3    15.92    1.00     57.57    1.03    -26.22    0.94    0.00  0.00 
