%
%  ID - nazwa gromady
%  GLON - d"lugo"s"c galaktyczna
%  GLAT - szeroko"s"c galaktyczna
%  R_sun - odleg"lo"s"c od S"lo"nca
%  V_t - jasno"s"c ca"lkowita w V
%  [Fe/H] - metaliczno"s"c
%
%  No   ID          GLON    GLAT   R_sun   V_t  [Fe/H]
%                    deg     deg    kpc    mag    
%
   98  Djorg 2      2.76   -2.51   13.8   9.90   --    
   99  NGC 6517    19.23    6.76   10.5  10.23  -1.37
  100  Terzan 10    4.42   -1.86    8.4  14.90  -0.70
  101  NGC 6522     1.02   -3.93    7.0   8.27  -1.52
  102  NGC 6535    27.18   10.44    6.8  10.47  -1.80
  103  NGC 6528     1.14   -4.17    7.4   9.60  -0.17
  104  NGC 6539    20.80    6.78    7.9   9.33  -0.66
  105  NGC 6540     3.29   -3.31    3.5   9.30  -1.00
  106  NGC 6544     5.84   -2.20    2.5   7.77  -1.56
  107  NGC 6541   349.29  -11.18    7.4   6.30  -1.83
  108  NGC 6553     5.25   -3.02    4.7   8.06  -0.25
  109  NGC 6558     0.20   -6.03    6.4   9.26  -1.44
  110  IC 1276     21.83    5.67    9.3  10.34   --    
  111  Terzan 12    8.36   -2.10    --   15.63   --    
  112  NGC 6569     0.48   -6.68    8.5   8.55  -0.86
  113  NGC 6584   342.14  -16.41   13.0   8.27  -1.49
  114  NGC 6624     2.79   -7.91    7.9   7.87  -0.42
  115  NGC 6626     7.80   -5.58    5.7   6.79  -1.45
  116  NGC 6638     7.90   -7.15    8.2   9.02  -0.99
  117  NGC 6637     1.72  -10.27    8.2   7.64  -0.71
  118  NGC 6642     9.81   -6.44    7.6   9.13  -1.35
  119  NGC 6652     1.53  -11.38    9.4   8.62  -0.96
  120  NGC 6656     9.89   -7.55    3.2   5.10  -1.64
  121  Pal 8       14.10   -6.80   12.4  11.02  -0.48
  122  NGC 6681     2.85  -12.51    8.7   7.87  -1.51
  123  NGC 6712    25.35   -4.32    6.7   8.10  -1.01
  124  NGC 6715     5.61  -14.09   26.2   7.60  -1.59
  125  NGC 6717    12.88  -10.90    7.1   9.28  -1.29
  126  NGC 6723     0.07  -17.30    8.6   7.01  -1.12
  127  NGC 6749    36.20   -2.20    7.7  12.44  -1.60
  128  NGC 6752   336.50  -25.63    3.9   5.40  -1.55
  129  NGC 6760    36.11   -3.92    7.3   8.88  -0.52
  130  NGC 6779    62.66    8.34    9.9   8.27  -1.94
  131  Terzan 7     3.39  -20.07   23.0  12.00  -0.58
  132  Pal 10      52.44    2.72    5.8  13.22  -0.10
  133  Arp 2        8.55  -20.78   27.6  12.30  -1.76
  134  NGC 6809     8.80  -23.27    5.3   6.32  -1.81
  135  Terzan 8     5.76  -24.56   25.4  12.40  -1.87
  136  Pal 11      31.81  -15.58   12.6   9.80  -0.39
  137  NGC 6838    56.74   -4.56    3.8   8.19  -0.73
  138  NGC 6864    20.30  -25.75   18.4   8.52  -1.32
  139  NGC 6934    52.10  -18.89   15.2   8.83  -1.54
  140  NGC 6981    35.16  -32.68   16.8   9.27  -1.54
  141  NGC 7006    63.77  -19.41   40.7  10.56  -1.68
  142  NGC 7078    65.01  -27.31   10.2   6.20  -2.22
  143  NGC 7089    53.38  -35.78   11.4   6.47  -1.62
  144  NGC 7099    27.18  -46.83    7.9   7.19  -2.12
  145  Pal 12      30.51  -47.68   18.7  11.99  -0.93
  146  Pal 13      87.10  -42.70   26.3  13.80  -1.65
  147  NGC 7492    53.39  -63.48   25.2  11.29  -1.51

